epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,218,,,,0.6817582249641418,0.7130976319313049,0.5239961743354797
0,218,0.5736861228942871,0.6311635971069336,0.4160427749156952,,,
1,437,,,,0.7103822231292725,0.7328698039054871,0.556352972984314
1,437,0.6725637912750244,0.6912450790405273,0.5127565860748291,,,
2,656,,,,0.7029699087142944,0.7295206785202026,0.5481496453285217
2,656,0.6888490915298462,0.7001618146896362,0.5308155417442322,,,
3,875,,,,0.7186378240585327,0.7391138672828674,0.5663275718688965
3,875,0.7017656564712524,0.7122684717178345,0.5454632043838501,,,
4,1094,,,,0.6826562881469727,0.7126971483230591,0.5255298614501953
4,1094,0.7103040218353271,0.7219501733779907,0.5568525791168213,,,
5,1313,,,,0.7255061268806458,0.7436292767524719,0.5745626091957092
5,1313,0.7173603177070618,0.7299014329910278,0.5648408532142639,,,
6,1532,,,,0.7253930568695068,0.7417193055152893,0.5750911235809326
6,1532,0.7271228432655334,0.7373276352882385,0.5762091279029846,,,
7,1751,,,,0.7282726764678955,0.7481307983398438,0.5784549713134766
7,1751,0.72885662317276,0.739215612411499,0.5788154006004333,,,
8,1970,,,,0.7408938407897949,0.7558323740959167,0.592689037322998
8,1970,0.735968291759491,0.7462825775146484,0.587498128414154,,,
9,2189,,,,0.7349799871444702,0.7536256909370422,0.5867018103599548
9,2189,0.7377102971076965,0.7468822598457336,0.5902413129806519,,,
10,2408,,,,0.7370725274085999,0.7556016445159912,0.5888904929161072
10,2408,0.745936393737793,0.7524062395095825,0.5997622609138489,,,
11,2627,,,,0.7399631142616272,0.7529333829879761,0.5919934511184692
11,2627,0.7475102543830872,0.7532784342765808,0.6008194088935852,,,
12,2846,,,,0.7361921072006226,0.7532243728637695,0.5884373188018799
12,2846,0.7582703232765198,0.7634057998657227,0.6148034334182739,,,
13,3065,,,,0.7397194504737854,0.7571285963058472,0.5927993655204773
13,3065,0.7551798820495605,0.759836733341217,0.6107839941978455,,,
14,3284,,,,0.7354230284690857,0.7511383891105652,0.58751380443573
14,3284,0.7607210278511047,0.76764976978302,0.6181856393814087,,,
15,3503,,,,0.7480934262275696,0.7611076831817627,0.6021302938461304
15,3503,0.765271782875061,0.7708327174186707,0.6237860321998596,,,
16,3722,,,,0.7447872757911682,0.7631343007087708,0.598538339138031
16,3722,0.7702131271362305,0.7747281193733215,0.6298907399177551,,,
17,3941,,,,0.7460149526596069,0.7636979818344116,0.6001552939414978
17,3941,0.7721764445304871,0.775521457195282,0.6324557065963745,,,
18,4160,,,,0.7497605681419373,0.7659895420074463,0.6042364835739136
18,4160,0.7740225195884705,0.7798230648040771,0.6353192329406738,,,
19,4379,,,,0.7488146424293518,0.7656218409538269,0.6033773422241211
19,4379,0.7800877690315247,0.7828688025474548,0.6424541473388672,,,
20,4598,,,,0.7445830702781677,0.760441243648529,0.5983743071556091
20,4598,0.7785459756851196,0.7835633158683777,0.6407736539840698,,,
21,4817,,,,0.7470090985298157,0.7626851201057434,0.6012855172157288
21,4817,0.7806337475776672,0.7858827114105225,0.6437675952911377,,,
22,5036,,,,0.7528298497200012,0.7672709822654724,0.6081693768501282
22,5036,0.7873104214668274,0.7904760241508484,0.6522454023361206,,,
23,5255,,,,0.7479295134544373,0.7666768431663513,0.6027103662490845
23,5255,0.7839682102203369,0.7891247868537903,0.648185133934021,,,
24,5474,,,,0.7509449124336243,0.7698699235916138,0.6060381531715393
24,5474,0.7882122993469238,0.7911389470100403,0.6533896327018738,,,
25,5693,,,,0.7506909370422363,0.768280029296875,0.6059276461601257
25,5693,0.7882933020591736,0.7920371890068054,0.6536655426025391,,,
26,5912,,,,0.7515003681182861,0.7688019871711731,0.6067640781402588
26,5912,0.7889976501464844,0.7914342880249023,0.6545924544334412,,,
27,6131,,,,0.7516782879829407,0.7697327136993408,0.6070252656936646
27,6131,0.7889640927314758,0.7935320734977722,0.6547275185585022,,,
28,6350,,,,0.7527722120285034,0.7709946036338806,0.6081026196479797
28,6350,0.7882336378097534,0.7931349873542786,0.6538107991218567,,,
29,6569,,,,0.7556805610656738,0.7728502750396729,0.611783504486084
29,6569,0.7900176048278809,0.7926674485206604,0.6556850671768188,,,
